kanji	katakana	meaning	
愛想	あいそう	sociability	 
間柄	あいだがら	relationship	 
合間	あいま	interval	 
敢えて	あえて	dare (to do), venture (to do), challenge (to do)	  marked
仰ぐ	あおぐ	to look up (to), to respect; to ask for	 
垢	あか	dirt, filth	 
赤字	あかじ	deficit, go in the red	 
明かす	あかす	to reveal; to stay up	 
赤らむ	あからむ	to become red, to blush	 
上がり	あがり	ascent; income; completion, stop	 
諦め	あきらめ	resignation, reconciliation, consolation	 
アクセル	アクセル	(abbr.) accelerator	 
あくどい	あくどい	gaudy vicious	 
顎	あご	chin	 
憧れ	あこがれ	yearning, longing, aspiration	Intermediate_Japanese Intermediate_Japanese_Ln.8  
麻	あさ	hemp	 
あざ	あざ	birthmark, bruise	 
浅ましい	あさましい	shameful, mean, despicable	 
欺く	あざむく	to deceive	 
鮮やか	あざやか	vivid, clear	 
嘲笑う	あざわらう	to sneer at, to ridicule	 
悪しからず	あしからず	don't take me wrong, but..., I'm sorry	 
味わい	あじわい	flavor, relish	 
焦る	あせる	to be in a hurry, to be impatient	 
あせる (こえが～)	あせる (こえが～)	to fade, to discolor	 
値	あたい	value, price, worth	 
値する	あたいする	to be worth, to deserve	 
悪化	あっか	deterioration, worsen	 
扱い	あつかい	treatment, service	 
呆気ない	あっけない	not enough, too quick (short, long, etc.)	 
あっさり	あっさり	easily, readily, quickly	 
斡旋	あっせん	kind offices, mediation	 
圧倒	あっとう	overwhelm, overpower	 
圧迫	あっぱく	pressure, coercion, oppression	 
あつらえる	あつらえる	to give an order, to place an order	 
圧力	あつりょく	stress, pressure	 
当て	あて	expectations; depend	 
～宛	～あて	for…(e.g., In a letter)	 
当て字	あてじ	phonetic-equivalent character, substitute character	 
跡継ぎ	あとつぎ	heir, successor	 
後回し	あとまわし	putting off, postponing	 
油絵	あぶらえ	oil painting	 
アプローチ	アプローチ	approach (in golf)	 
あべこべ	あべこべ	contrary, opposite, inverse	 
甘える	あまえる	to behave like a spoiled child, to fawn on	 
雨具	あまぐ	rain gear	 
甘口	あまくち	sweet flavor	 
アマチュア	アマチュア	amateur	 
網	あみ	net	 
操る	あやつる	to manipulate, to operate, to pull strings	 
危ぶむ	あやぶむ	to fear, to have misgivings, to be doubtful	 MediaMissing 
あやふや	あやふや	uncertain, vague, ambiguous	 MediaMissing 
過ち	あやまち	fault, error, indiscretion	 MediaMissing 
誤る	あやまる	to make a mistake	 MediaMissing 
歩み	あゆみ	step, progress, history	 MediaMissing 
歩む	あゆむ	to walk	 MediaMissing 
予め	あらかじめ	in advance, previously	 MediaMissing 
荒らす	あらす	to damage; to invade	 MediaMissing 
争い	あらそい	dispute, quarrel, conflict	 MediaMissing 
改まる	あらたまる	to be renewed; to be formal	 MediaMissing 
荒っぽい	あらっぽい	rough, rude	 MediaMissing 
アラブ	アラブ	Arab	 MediaMissing 
霰	あられ	hail (e.g., falling ice balls)	 MediaMissing 
有り様	ありさま	state, condition	 MediaMissing 
ありのまま	ありのまま	the truth, as it is, frankly	 MediaMissing 
ありふれる	ありふれる	common, ordinary, routine	 MediaMissing 
アルカリ	アルカリ	alkali	 MediaMissing 
アルミ	アルミ	aluminum (Al, aluminum)	 MediaMissing 
アワー	アワー	hour	 MediaMissing 
合わす	あわす	to join together, to face, to unite	 MediaMissing 
～合せ	～あわせ	in all	 MediaMissing 
アンコール	アンコール	encore	 MediaMissing 
暗殺	あんさつ	assassination	 MediaMissing 
暗算	あんざん	mental arithmetic	 MediaMissing 
暗示	あんじ	hint, suggestion	 MediaMissing 
案じる	あんじる	to be anxious, to ponder	 MediaMissing 
安静	あんせい	rest	 MediaMissing 
案の定	あんのじょう	sure enough, as usual	 MediaMissing 
いい加減	いいかげん	random, irresponsible	 MediaMissing 
言い訳	いいわけ	excuse, explanation	 MediaMissing 
イェス	イェス	yes; Jesus	 MediaMissing 
家出	いえで	running away from home	 MediaMissing 
生かす	いかす	to keep something alive; to make use of	 MediaMissing 
いかに	いかに	how, in what way	 MediaMissing 
いかにも	いかにも	truly (same as 実に (じつに))	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
異議	いぎ	objection, dissent, protest	 MediaMissing 
生き甲斐	いきがい	something one lives for, very important	 MediaMissing 
行き違い	いきちがい	misunderstanding, disagreement	 MediaMissing 
意気込む	いきごむ	to be enthusiastic about	 MediaMissing 
育成	いくせい	rearing, training, cultivation	 MediaMissing 
幾多	いくた	many, numerous	 MediaMissing 
(花を〜) 生ける, 活ける	(はなを～) いける	to arrange (flowers)	 MediaMissing 
異見	いけん	different opinion, objection	 MediaMissing 
意向	いこう	intention, idea, inclination	 MediaMissing 
移行	いこう	switching over to	 MediaMissing 
いざ	いざ	now, come (now), crucial moment	 MediaMissing 
移住	いじゅう	migration, immigration	 MediaMissing 
衣装	いしょう	clothing, costume, outfit	 MediaMissing 
いじる	いじる	to touch, to tamper with	 MediaMissing 
異性	いせい	the opposite sex	 MediaMissing 
遺跡	いせき	historic ruins	 MediaMissing 
依存	いぞん	dependence, dependent, reliance	 MediaMissing 
委託	いたく	consign (goods (for sale) to a firm), entrust	 MediaMissing 
いたって	いたって	very much, exceedingly, extremely	 MediaMissing 
いたわる	いたわる	to sympathize with, to console, to care for	 MediaMissing 
一概に	いちがいに	unconditionally, necessarily	 MediaMissing 
著しい	いちじるしい	remarkable, considerable	 MediaMissing 
一同	いちどう	all present, all concerned, all of us	 MediaMissing 
一部分	いちぶぶん	a part, a portion	 MediaMissing 
一別	いちべつ	parting	 MediaMissing 
一面	いちめん	one side, the other hand	 MediaMissing 
一目	いちもく	a glance, a look, a glimpse	 MediaMissing 
一様	いちよう	uniform, similar, equal	 MediaMissing 
一律	いちりつ	even, uniform, equal	 MediaMissing 
一連	いちれん	a series, a chain, a ream (of paper)	 MediaMissing 
一括	いっかつ	all together, batch	 MediaMissing 
一気	いっき	at one push, in one gulp	 MediaMissing 
一挙に	いっきょに	at a stroke, with a single swoop	 MediaMissing 
一見	いっけん	a look, a glimpse, glance; first meeting	 MediaMissing 
一切	いっさい	without exception, the whole	 MediaMissing 
一心	いっしん	one mind, with rapt attention	 MediaMissing 
いっそ	いっそ	rather, sooner, might as well	 MediaMissing 
一変	いっぺん	complete change	 MediaMissing 
意図	いと	intention, aim, design	 MediaMissing 
営む	いとなむ	to carry on (e.g., in ceremony), to run a business	 MediaMissing 
挑む	いどむ	to challenge	 MediaMissing 
稲光	いなびかり	(flash of) lightning	 MediaMissing 
祈り	いのり	prayer, supplication	 MediaMissing 
いびき	いびき	snoring	 MediaMissing 
今更	いまさら	now, again	 MediaMissing 
未だ	いまだ	yet, still	 MediaMissing 
移民	いみん	emigrant, immigrant	 MediaMissing 
嫌々	いやいや	reluctantly, by no means, unwillingly	 MediaMissing 
卑しい	いやしい	greedy, vulgar, shabby	 MediaMissing 
いやに	いやに	awfully, terribly	 MediaMissing 
いやらしい	いやらしい	unpleasant, disgusting, indecent	 MediaMissing 
意欲	いよく	will, desire, ambition	 MediaMissing 
威力	いりょく	power, might, authority	 MediaMissing 
衣類	いるい	clothes, clothing, garments	 MediaMissing 
異論	いろん	different opinion, objection	 MediaMissing 
印鑑	いんかん	stamp, seal	 MediaMissing 
陰気	いんき	gloom, melancholy	 MediaMissing 
隠居	いんきょ	retirement; retired person	 MediaMissing 
インターチェンジ	インターチェンジ	interchange	 MediaMissing 
インターナショナル	インターナショナル	international	 MediaMissing 
インターフォン	インターフォン	entry phone, intercom	 MediaMissing 
インテリ	インテリ	(abbr.) egghead, intelligentsia	 MediaMissing 
インフォメーション	インフォメーション	information	 MediaMissing 
インフレ	インフレ	(abbr.) inflation	 MediaMissing 
受かる	うかる	to pass (examination)	 MediaMissing 
受け入れ	うけいれ	receiving, acceptance	 MediaMissing 
受け入れる	うけいれる	to accept, to receive	 MediaMissing 
受け継ぐ	うけつぐ	to inherit, to succeed	 MediaMissing 
受け付ける	うけつける	to be accepted, to receive (an application)	 MediaMissing 
受け止める	うけとめる	to catch, to react to, to take	 MediaMissing 
受身	うけみ	passive, passive voice	 MediaMissing 
受持ち	うけもち	charge (of something), matter in one's charge	 MediaMissing 
動き	うごき	movement, activity, trend	 MediaMissing 
埋める	うずめる	to bury, to fill	 MediaMissing 
嘘つき	うそつき	liar	 MediaMissing 
うたた寝	うたたね	dozing, napping	 MediaMissing 
打ち明ける	うちあける	to confess, to be open	 MediaMissing 
打ち切る	うちきる	to stop, to abort, to discontinue, to close	 MediaMissing 
打ち消し	うちけし	(gram) negation, denial, negative	 MediaMissing 
打ち込む	うちこむ	to devote oneself to, to shoot into	 MediaMissing 
団扇	うちわ	fan	 MediaMissing 
内訳	うちわけ	the items, breakdown, classification	 MediaMissing 
写し	うつし	copy, duplicate	 MediaMissing 
訴え	うったえ	lawsuit, complaint	 MediaMissing 
うっとうしい	うっとうしい	weary, annoying	 MediaMissing 
うつむく	うつむく	to look downward, to stoop	 MediaMissing 
空ろ	うつろ	blank, hollow, empty	 MediaMissing 
器	うつわ	bowl, vessel, container	 MediaMissing 
腕前	うでまえ	ability, skill, facility	 MediaMissing 
雨天	うてん	rainy weather	 MediaMissing 
促す	うながす	to urge, to suggest, to demand	 MediaMissing 
うぬぼれ	うぬぼれ	pretension, conceit, hubris	 MediaMissing 
生まれつき	うまれつき	by nature, by birth, native	 MediaMissing 
埋め込む	うめこむ	to embed, implant	 MediaMissing 
梅干し	うめぼし	dried plum	 MediaMissing 
裏返し	うらがえし	inside out, reverse	 MediaMissing 
売り出し	うりだし	(bargain) sale	 MediaMissing 
売り出す	うりだす	to put on sale, to market	 MediaMissing 
潤う	うるおう	to be moist; to profit by	 MediaMissing 
浮気	うわき	affair, to cheat	 MediaMissing 
上回る	うわまわる	to exceed	 MediaMissing 
植わる	うわる	to be planted	 MediaMissing 
運営	うんえい	management, administration, operation	 MediaMissing 
うんざり	うんざり	tedious, boring, being fed up with	 MediaMissing 
運送	うんそう	shipping, freight	 MediaMissing 
運賃	うんちん	freight rates, shipping expenses, (passenger) fare	 MediaMissing  Intermediate_Japanese_Ln.10 Intermediate_Japanese
云々	うんぬん	and so on, and so forth	 MediaMissing 
運搬	うんぱん	transport, carriage	 MediaMissing 
運命	うんめい	fate	 MediaMissing 
運輸	うんゆ	transportation	 MediaMissing 
運用	うんよう	making use of, application, practical use	 MediaMissing 
エアメール	エアメール	air mail	 MediaMissing 
～営	～えい	~ run	 MediaMissing 
英字	えいじ	English letter (character)	 MediaMissing 
映写	えいしゃ	projection	 MediaMissing 
映像	えいぞう	reflection, image	 MediaMissing 
英雄	えいゆう	hero, great man	 MediaMissing 
液	えき	liquid, fluid	 MediaMissing 
閲覧	えつらん	inspection, reference, browse	 MediaMissing 
獲物	えもの	game, spoils, trophy	 MediaMissing 
