夜間瞬間	しゅんかん	/(n-adv,n-t) moment/second/instant/(P)/
人間	にんげん	/(n) (1) human being/person/man/mankind/humankind/(2) character (of a person)/(P)/
世間	せけん	/(n) world/society/people/the public/(P)/
間柄	あいだがら	/(n) relationship/relation/terms (good, friendly, etc.)/(P)/
束の間	つかのま	/(exp,n,adj-no) moment/brief space of time/(P)/
居間	いま	/(n) living room (Western style)/(P)/
利口な人口	じんこう	/(n) (1) population/(2) common talk/(P)/
口調	くちょう	/(n) tone (e.g. of voice, etc.)/(verbal) expression/(P)/
異口同音	いくどうおん	/(n) (yoji) in concert/with one voice/unanimously/(P)/
無口な早口	はやぐち	/(n,adj-no) fast-talking/rapid talking/
発言	はつげん	/(n,vs) statement/remark/observation/utterance/speech/proposal/(P)/
方言	ほうげん	/(n,adj-no) (ling) dialect/(P)/
伝言	でんごん	/(n,vs) verbal message/word (from someone)/(P)/
無言	むごん	/(n,adj-no) silence (not speaking)/muteness/(P)/
言い付け	いいつけ	/(n) (1) order/command/(2) directions/instructions/
一言	ひとこと	/(n,vs) single word/a few words/brief comment/(P)/
独り言	ひとりごと	/(n) soliloquy/monologue/speaking to oneself/(P)/
相違	そうい	/(n,vs) difference/discrepancy/variation/(P)/
相互	そうご	/(n,adj-no) mutual/reciprocal/(P)/
真相	しんそう	/(n) truth/real situation/(P)/
首相	しゅしょう	/(n) Prime Minister/Chancellor (Germany, Austria, etc.)/Premier/(P)/
外相	がいしょう	/(n) Foreign Minister/(P)/
相性	あいしょう	/(n) affinity/compatibility/(P)/
相変わらず	あいかわらず	/(adv,adj-no) as ever/as usual/the same/still/(P)/
省略	しょうりゃく	/(n,vs) omission/abbreviation/abridgment/abridgement/(P)/
省エネ	しょうエネ	/(n) (abbr) energy conservation/economical use of energy/
外務省	がいむしょう	/(n) Ministry of Foreign Affairs/(P)/
反省	はんせい	/(n,vs) (1) reflection/reconsideration/introspection/meditation/contemplation/(2) regret/repentance/remorse/being sorry/(P)/
帰省	きせい	/(n,vs) homecoming/returning home/(P)/
省く	はぶく	/(v5k,vt) (1) to omit/to leave out/to exclude/to eliminate/(2) to curtail/to save/to cut down/to economize/to economise/(P)/
省みる	かえりみる	/(v1,vt) to reflect on (oneself, past conduct, etc.)/to contemplate/to examine/to think over/to introspect/(P)/
極端	きょくたん	/(n,adj-na) extreme/extremity/(P)/
先端	せんたん	/(n) (1) pointed end/tip/point/cusp (of a leaf, crescent moon, etc.)/apex (of a curve)/(2) forefront/vanguard/spearhead/leading edge/(P)/
端	はな	/(n) (1) end (e.g. of street)/tip/point/edge/margin/(2) beginning/start/first/(3) odds and ends/scrap/odd bit/least/
道端	みちばた	/(n) roadside/wayside/(P)/
中途半端	ちゅうとはんぱ	/(adj-na,n,adj-no) (yoji) halfway/half measures/unfinished/incomplete/by halves/half-baked/half-cocked/(P)/
滞納	たいのう	/(n,vs) falling behind (with a payment)/being in arrears/non-payment/default/delinquency/(P)/
納入	のうにゅう	/(n,vs) (1) payment (taxes, fees, etc.)/(2) supply (of goods)/delivery/(P)/
納得	なっとく	/(n,vs) (1) consent/assent/agreement/(2) understanding/comprehension/grasp/(P)/
納豆	なっとう	/(n) natto (fermented soybeans)/(P)/
税金	ぜいきん	/(n) tax/duty/(P)/
商品	しょうひん	/(n) commodity/article of commerce/goods/stock/merchandise/(P)/
横柄	おうへい	/(adj-na,n) arrogant/haughty/insolent/(P)/
柄	つか	/(n) hilt (of a sword)/haft (of a dagger)/handgrip/
宮殿	きゅうでん	/(n,adj-no) palace/(P)/
弟子	でし	/(n,adj-no) pupil/disciple/adherent/follower/apprentice/young person/teacher's student-helper/(P)/
師匠	ししょう	/(n,suf) (1) master/teacher/(n) (2) (sumo) coach who owns his stable/(P)/
情緒	じょうちょ	/(n,adj-no) (1) emotion/feeling/(2) atmosphere/mood/spirit/(P)/
仮病	けびょう	/(n,adj-no) feigned illness/
封建制度	ほうけんせいど	/(n,adj-no) feudal system/feudalism/
支度	したく	/(n,vs) preparation/arrangements/(P)/
旅支度	たびじたく	/(n,vs) preparations for a journey/
身支度	みじたく	/(n) (1) dress/outfit/getup/(vs) (2) to dress oneself/to outfit oneself/
留守	るす	/(n,vs,adj-no) (1) absence/being away from home/(n,vs) (2) house-sitting/house-sitter/(n) (3) being left unattended to (of one's studies, etc.)/neglecting/(P)/
天井	てんじょう	/(n) (1) ceiling/(2) ceiling price/(price) ceiling/(P)/
床	ゆか	/(n) (1) floor/(2) stage (for the narrator and the shamisen player)/(3) dining platform built across a river/(P)/
面目	めんもく	/(n) (1) face/honour/honor/reputation/prestige/dignity/credit/(2) appearance/look/(P)/
面目ない	めんぼくない	/(adj-i) ashamed/
河川	かせん	/(n) rivers/(P)/
座布団	ざぶとん	/(n) zabuton (flat floor cushion used when sitting or kneeling; usu. rectangular)/(P)/
文句	もんく	/(n) (1) complaint/grumbling/objection/(2) phrase/words/expression/(P)/
都合	つごう	/(adv,n) (1) circumstances/condition/convenience/(vs) (2) to arrange/to manage/(3) to lend money/to raise money/(adv) (4) in all/in total/all told/(P)/
都度	つど	/(n) each (every) time/whenever/(P)/
行事	ぎょうじ	/(n) event/function/(P)/
行政	ぎょうせい	/(n) administration/governance/the authorities/authority/(P)/
世間体	せけんてい	/(n) appearance (in the eyes of society)/decency/
体裁	ていさい	/(n) (1) (outward) appearance/(2) (proper) format (e.g. of an essay)/form/style/(3) appearances/decency/show/display/(4) lip-service/insincere words/glib talk/(P)/
発作	ほっさ	/(n,vs,adj-no) (med) fit/spasm/attack/seizure/(P)/
発足	ほっそく	/(n,vs) starting/inauguration/launch/founding/establishment/start-up/(P)/
発起	ほっき	/(n,vs) (1) proposal/promotion/(2) (Buddh) spiritual awakening/resolution/
元祖	がんそ	/(n,adj-no) originator/founder/pioneer/inventor/(P)/
元日	がんにち	/(n) New Year's Day/
元旦	がんたん	/(n) (1) (col) New Year's Day/(2) New Year's morning/morning of New Year's Day/(P)/
生じる	しょうじる	/(v1,vt) (1) to produce/to yield/to cause/(v1,vi) (2) to result from/to arise/to be generated/(P)/
一生懸命	いっしょうけんめい	/(adj-na,n-adv,n) (yoji) very hard/with utmost effort/with all one's might/for dear life/(P)/
生涯	しょうがい	/(n) (1) life/lifetime/career/(n-adv,n-t) (2) for life/all one's life/throughout one's life/as long as one lives/(P)/
本名	ほんめい	/(n) real name/
名字	みょうじ	/(n) surname/family name/(P)/
黄金	こがね	/(n,adj-no) gold/(P)/
後者	こうしゃ	/(n,adj-no) the latter/(P)/
雨天	うてん	/(n) rainy weather/(P)/
雨季	うき	/(n) rainy season/(P)/
有無	ゆうむ	/(ok) (n) (1) existence or nonexistence/presence or absence/(2) consent or refusal/yes or no/
有頂天	うちょうてん	/(n,adj-na) ecstasy/(P)/
未曾有	みぞう	/(adj-no,n) unprecedented/unheard-of/record-breaking/
解毒	げどく	/(n,vs,adj-no) (med) detoxification/counteracting poison/neutralizing poison/
工夫	こうふ	/(n) (sens) labourer/laborer/blue-collar worker/
工面する大工	だいく	/(n) carpenter/(P)/
定規	じょうぎ	/(n) (measuring) ruler/(P)/
案の定	あんのじょう	/(exp,adv) just as one thought/as usual/sure enough/(P)/
勘定	かんじょう	/(n,vs) (1) calculation/computation/counting/reckoning/count/(2) bill/check/account/payment (of a bill)/settlement (of an account)/(3) consideration/allowance/(P)/
人質	ひとじち	/(n) hostage/(P)/
質屋	しちや	/(n) pawnshop/(P)/
様子	ようす	/(n) (1) state/state of affairs/situation/circumstances/(2) appearance/look/aspect/(3) sign/indication/(P)/
扇子	せんす	/(n) folding fan/(P)/
椅子	いす	/(n) (1) chair/stool/(2) post/office/position/(P)/
右折	うせつ	/(n,vs) turning to the right/right turn/(P)/
右派	うは	/(n,adj-no) right wing/(P)/
右翼	うよく	/(n,adj-no) (1) right-wing (politics)/(n) (2) extreme right-wing group/(3) right wing (bird, plane, etc.)/(4) (sports) right field/right flank/right wing/(5) (baseb) (abbr) right fielder/(6) high rank/high grade/A-student/(P)/
上下	じょうげ	/(n) (1) top and bottom/high and low/above and below/upper and lower ends/up and down/(n,vs) (2) going up and down/rising and falling/fluctuating/(3) going and coming back/(n) (4) upper and lower classes/ruler and ruled/the government and the people/(5) first and second volumes/(P)/
下旬	げじゅん	/(n-adv,n-t) last third of a month/21st to the last day of a month/(P)/
下水道	げすいどう	/(n) sewer/sewer system/sewerage/drain/(P)/
一対	いっつい	/(n,adj-no) pair/couple/
対になる	ついになる	/(exp,v5r) to form a pair/to pair up/
類似	るいじ	/(n,vs,adj-no) resemblance/similarity/likeness/analogy/(P)/
疑似体験	ぎじたいけん	/(n) simulated experience/simulation/
汚染	おせん	/(n,vs) pollution/contamination/(P)/
汚名返上	おめいへんじょう	/(n,vs) (yoji) clear one's name/redeem oneself/clear (vindicate) one's honor (reputation)/
汚職	おしょく	/(n,adj-no) corruption/(P)/
戸籍	こせき	/(n) (1) family register/(2) census/(P)/
一戸建て	いっこだて	/(n) detached house/stand-alone house/single-family home/(P)/
頭文字	かしらもじ	/(n) (1) first letter of a word/capital letter (at the start of a word or sentence)/(2) initials (of one's name)/(P)/
浜辺	はまべ	/(n) beach/foreshore/(P)/
雨具	あまぐ	/(n) rain gear/(P)/
手際	てぎわ	/(n) performance/execution/skill/dexterity/tact/(P)/
家主	やぬし	/(n) (1) landlord/landlady/(2) house owner/home owner/head of the household/(P)/
城跡	じょうせき	/(n) castle site/ruins of a castle/
問屋	とんや	/(n) wholesale store/wholesale dealer/wholesaler/(P)/
小銭	こぜに	/(n) (1) small change/coins/(2) small sum of money/(P)/
本音	ほんね	/(n) real intention/motive/true opinion/what one really thinks/(P)/
音色	ねいろ	/(n) tone color/tone colour/tone quality/timbre/(P)/
炎	ほむら	/(n) (1) flame/blaze/(2) flames (of intense emotion, e.g. love, jealousy, anger)/passion/
日付	ひづけ	/(n,adj-no) date/dating/(P)/
夜明け	よあけ	/(n) dawn/daybreak/(P)/
小包	こづつみ	/(n) parcel/package/(P)/
鳥居	とりい	/(n) torii/Shinto shrine archway/(P)/
双子	ふたご	/(n) twins/twin/(P)/
兆し	きざし	/(n) signs/omen/symptoms/(P)/
自ら	みずから	/(n) (1) oneself/(adv) (2) for one's self/personally/(P)/
専ら	もはら	/(ok) (adv,adj-no) (1) (uk) wholly/solely/entirely/exclusively/devotedly/fixedly/(2) (uk) principally/mostly/chiefly/mainly/
巧な夜行	やこう	/(n,vs) walking around at night/night train/night travel/(P)/
格安	かくやす	/(adj-na,n,adj-no) cheap/reasonable/(P)/
屋外	やど	/(n) (arch) outside near the door to one's home/
屋内	おくない	/(n,adj-no) indoor (court, pool, etc.)/(P)/
野外	やがい	/(n,adj-no) (1) outdoors/outside/open air/(n) (2) fields/outskirts/suburbs/(P)/
大木	たいぼく	/(n) large tree/(P)/
正午	しょうご	/(n-adv,n-t) noon/midday/(P)/
生地	せいち	/(n) birthplace/
湯気	ゆげ	/(n) steam/vapour/vapor/(P)/
幾分	いくぶん	/(adv,n) (1) somewhat/to some extent/to some degree/(n) (2) some/part/portion/(P)/
絵画	かいが	/(n) painting/picture/(P)/
喪中	もちゅう	/(n) in mourning/
行方	ゆくえ	/(n) (1) (one's) whereabouts/(2) outcome/(P)/
田舎	でんじゃ	/(ok) (n) country/country home/
景色	けしき	/(n,adj-no) scenery/scene/landscape/(P)/
差し支える	さしつかえる	/(v1,vi) to interfere/to hinder/to become impeded/(P)/
微笑む	ほほえむ	/(v5m,vi) to smile/(P)/
笑顔	えがお	/(n,vs) smiling face/smile/(P)/
白髪	はくはつ	/(n,adj-no) white hair/grey hair/gray hair/(P)/
風邪	ふうじゃ	/(n) common cold/cold/influenza/flu/ague/
博士	はくし	/(n,n-suf,adj-no) (1) doctor/PhD/Dr./(n) (2) expert/learned person/(P)/
迷子	まいご	/(n) lost child/lost person/stray child/missing child/(P)/
お巡りさん	おまわりさん	/(n) (fam) (uk) police officer/(P)/
玄人	くろと	/(n,adj-no) (1) expert/professional/master/connoisseur/(2) woman in the nightlife business/demimondaine/geisha and prostitutes/
素人	しろと	/(n,adj-no) (1) amateur/layman/ordinary person/novice/(n) (2) respectable woman (not a prostitute, hostess, geisha, etc.)/(3) (arch) (kyb:) unlicensed prostitute/
