Date,Price
20080417,101.605
20080418,102.345
20080419,102.345
20080420,102.345
20080421,101.93562
20080422,103.266
20080423,102.764
20080424,103.392
20080425,104.416
20080426,104.416
20080427,104.416
20080428,104.425
20080429,104.213
20080430,103.64
20080501,104.365
20080502,104.423
20080503,104.423
20080504,104.423
20080505,105.33
20080506,105.104
20080507,104.777
20080508,105.276
20080509,103.984
20080510,103.984
20080511,103.984
20080512,102.825
20080513,103.79
20080514,104.571
20080515,105.24
20080516,104.84
20080517,104.84
20080518,104.84
20080519,104.08
20080520,104.485
20080521,103.696
20080522,103.415
20080523,104.048
20080524,104.048
20080525,104.048
20080526,103.32
20080527,103.475
20080528,104.065
20080529,104.565
20080530,105.605
20080531,105.52
20080601,105.52
20080602,105.42
20080603,104.249
20080604,105.23
20080605,105.275
20080606,105.632
20080607,105.632
20080608,105.632
20080609,105.632
20080610,106.241
20080611,107.31
20080612,106.893
20080613,107.98
20080614,107.98
20080615,107.98
20080616,108.60432
20080617,108.064
20080618,107.945
20080619,107.87
20080620,107.982
20080621,107.982
20080622,107.982
20080623,107.443
20080624,107.866
20080625,107.895
20080626,108.296
20080627,106.894
20080628,106.894
20080629,106.894
20080630,106.190998
20080701,106.2145
20080702,105.645
20080703,106.005
20080704,106.8
20080705,106.8
20080706,106.8
20080707,106.835
20080708,107.357672
20080709,107.427
20080710,106.784721
20080711,107.05
20080712,107.05
20080713,107.05
20080714,106.235
20080715,106.25
20080716,104.92
20080717,105.185
20080718,105.874
20080719,105.874
20080720,105.874
20080721,106.965
20080722,106.79
20080723,107.265
20080724,107.925
20080725,107.47
20080726,107.47
20080727,107.47
20080728,107.87
20080729,108.195934
20080730,108.165
20080731,108.135
20080801,107.97
20080802,107.97
20080803,107.97
20080804,107.755
20080805,108.156
20080806,108.245
20080807,109.455
20080808,109.6
20080809,109.6
20080810,109.6
20080811,110.12
20080812,110.14
20080813,108.565
20080814,108.855
20080815,109.915
20080816,109.915
20080817,109.915
20080818,110.342
20080819,110.025
20080820,109.7705
20080821,109.567
20080822,108.408
20080823,108.408
20080824,108.408
20080825,109.10579
20080826,109.155
20080827,109.805
20080828,109.845
20080829,109.49
20080830,109.49
20080831,109.49
20080901,108.165584
20080902,108.07
20080903,108.835
20080904,108.359
20080905,107.425
20080906,107.425
20080907,107.425
20080908,108.795
20080909,108.065
20080910,107.42
20080911,107.773
